Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Olağanhiçç,Kitap > Edebiyat > Şiir (Yerli),Bayram  Zıvalı,EPONA KİTAP,5 / 5 (6 oy),11,0,0,5,"139,00",29.04.2022,TÜRKÇE,72,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,197,6
Karanlıktan Sonra Ölümsüzler Serisi Takım Set (4 Kitap),Kitap > Edebiyat > Roman (Çeviri),Kresley Cole,PEGASUS YAYINLARI,5 / 5 (1 oy),74,2,0,0,"1.166,00",Bilgi Yok,TÜRKÇE,1616,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,32,1
Farabi / Fikir Mimarları Dizisi,Kitap > İslam > Felsefe > Kitap > Felsefe-Düşünce > Filozoflar-Düşünürler,Hüseyin Gazi Topdemir,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (21 oy),559,20,3,10,"350,00",30.10.2017,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,330,6
Maskeli Aşk,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Nicola Cornick,PEGASUS YAYINLARI,4 / 5 (12 oy),83,7,0,18,"299,00",24.03.2015,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,141,6
Babil'deki Yalnız Bebek,Kitap > Edebiyat > Roman (Yerli),Deniz Madran,BİLGE KÜLTÜR SANAT,2 / 5 (1 oy),27,1,0,0,"280,00",26.11.2007,TÜRKÇE,376,Karton Kapak,14 x 22 cm,Kitap Kağıdı,18,1
Kedi Gümüş’le Değerler Eğitimi Seti (20 kitap),Kitap > Çocuk Kitapları > Diğer,Zeynep  Emirdağ,ŞULE YAYINLARI - KAMPANYA,5 / 5 (2 oy),28,0,0,2,"800,00",14.06.2021,TÜRKÇE,480,Karton Kapak,19.5 x 19.5 cm,Kitap Kağıdı,10,1
Venedik Bir Balıktır,Kitap > Edebiyat > Anlatı > Kitap > Turizm-Gezi > Gezi Kitapları,Tiziano Scarpa,BİLGE KÜLTÜR SANAT,4 / 5 (13 oy),58,6,0,9,"145,00",16.06.2009,TÜRKÇE,112,Karton Kapak,13.5 x 19.5 cm,3. Hm. Kağıt,131,5
Toplumsal Analizler Ekseninde Kent Fragmanları,Kitap > Sosyoloji > Kentleşme,Bilgi Yok,SİYASAL YAYIN GRUBU - KAMPANYA,5 / 5 (4 oy),67,5,0,6,"350,00",26.09.2016,TÜRKÇE,336,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,115,1
Bir Sonraki Einstein Sen Olabilirsin,Kitap > Felsefe-Düşünce > Diğer,George  Jaroszkiewicz,YAKAMOZ YAYINCILIK,3 / 5 (2 oy),26,2,0,2,"180,00",18.08.2023,TÜRKÇE,368,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,22,1
Biyoteknoloji Çağında İnsan Kalabilmek,Kitap > Bilim & Mühendislik > Diğer,Elif Akçay,SARMAL KİTABEVİ,4 / 5 (4 oy),81,3,0,7,"220,00",02.03.2022,TÜRKÇE,184,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,126,1
Siyasal Kültür ve Seçim İletişimi Çalışmaları,Kitap > Siyaset > Araştırma-İnceleme,Seyra Kestel,URZENİ,Puan Yok,4,0,0,0,"400,00",10.03.2023,TÜRKÇE,358,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,7,0
Benim Manilerim,Kitap > Edebiyat > Diğer,Hatice Opak,ALAN YAYINCILIK,Puan Yok,1,0,0,0,"120,00",29.04.2024,TÜRKÇE,80,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,6,0
Yüreğim Sana Ait,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Eloisa James,PEGASUS YAYINLARI,4 / 5 (34 oy),268,5,0,30,"299,00",13.04.2012,TÜRKÇE,376,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,316,17
